ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb42557341r		Code Vagnon, JSP, Jeune sapeur-pompier / Didier Gateau, Laurent Mordret, Laure Moriot, Ludovic Becquet		Collection : Jeunes sapeurs-pompiers		fre ; français					Vagnon (Aix-en-Provence)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb42557341r
ark:/12148/cb42258651m		Domaine de compétences DEASS		Collection : Maxi fiches		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb42258651m
ark:/12148/cb42722801d		Cahiers généalogiques de la prévôté d'Amance en Lorraine (Nouvelle éd. revue et augmentée) Olivier Eyraud				fre ; français			Eyraud, Olivier (1970-....). Auteur du texte		D. Eyraud (Nancy)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2012	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb42722801d
ark:/12148/cb34334282r		Buzz et Bell / [scénario et dessins d'] Aragonés				fre ; français			Aragonés, Sergio (1937-....). Auteur du texte		Dupuis (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34334282r
ark:/12148/cb343342624		Le puits de madame / Netty Pellissier		Collection : Collection du Luzer		fre ; français			Pellissier, Netty (1932-....). Auteur du texte		C. Lacour (Nimes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343342624
ark:/12148/cb34334562z		Théâtre complet / Eugene O'Neill				fre ; français					l'Arche (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1963	texte imprimé ; printed text ; text	11 vol. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb34334562z
ark:/12148/cb343021126		La Ferté-Macé, 1800-1914	La Ferté-Macé (Orne)			fre ; français					Le Pays bas-normand (Flers)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1981-1988	texte imprimé ; printed text ; text	4 fasc. en 3 vol. : ill., couv. ill. en coul. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb343021126
ark:/12148/cb34346442r		Conserver et restaurer le patrimoine graphique / Association de conservateurs-restaurateurs du patrimoine graphique, photographique et du livre				fre ; français			Association de conservateurs-restaurateurs du patrimoine graphique, photographique et du livre. Auteur du texte		AGRAPHOL (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34346442r
ark:/12148/cb343099828		Les pensées économiques : les courants, les hommes, les oeuvres / Jacques Wolff,...				fre ; français			Wolff, Jacques (1928-2002). Auteur du texte		Montchrestien (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987-1989	texte imprimé ; printed text ; text	2 vol. ; 27 cm	http://catalogue.bnf.fr/ark:/12148/cb343099828
ark:/12148/cb34342192h		Les Cayol : roman / Raymond Leclerc				fre ; français			Leclerc, Raymond (1927-....). Auteur du texte		Pygmalion -G. Watelet (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34342192h
ark:/12148/cb343328520		Opium / Daniel Torrès				fre ; français			Torres, Daniel (1958-....). Auteur du texte		Casterman (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul ; 27 cm	http://catalogue.bnf.fr/ark:/12148/cb343328520
ark:/12148/cb34311492g		Le siècle de Hitler / Léon Degrelle				fre ; français			Degrelle, Léon (1906-1994). Auteur du texte		Art et histoire d'Europe (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987-1988	texte imprimé ; printed text ; text	3 vol. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34311492g
ark:/12148/cb34310862d		Le Monde de la Terre Creuse / Alain Paris		Collection : Anticipation		fre ; français			Paris, Alain (1947-.... ; romancier). Auteur du texte		Fleuve noir (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb34310862d
ark:/12148/cb34341512w		Lucky Luke ([Nouv. éd.]) dessins de Morris				fre ; français			Morris (1923-2001). Auteur du texte		Dargaud (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34341512w
ark:/12148/cb37721112g		Digimon : digital monsters : l'album officiel / Ellen Patrick				fre ; français			Patrick, Ellen. Auteur du texte		Gallimard jeunesse (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	26 cm	http://catalogue.bnf.fr/ark:/12148/cb37721112g
ark:/12148/cb37582732w		De la puissance du peuple / Groupe d'études du matérialisme rationnel				fre ; français			Groupe d'études du matérialisme rationnel (Le Raincy, Seine-Saint-Denis). Auteur du texte		le Temps des cerises (Pantin)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37582732w
ark:/12148/cb37012862s		Classi-files : les dossiers classés de la presse anglo-saxonne...				eng					Ellipses (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	 ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb37012862s
ark:/12148/cb371586124		Cours de traçage des métaux en feuilles / par André Montagne,...		Collection : l'enseignement technique et professionnel		fre ; français			Montagne, André. Auteur du texte		Eyrolles (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog		texte imprimé ; printed text ; text	226 p. : ill., couv. ill. ; 27 cm	http://catalogue.bnf.fr/ark:/12148/cb371586124
ark:/12148/cb37135502d		Les Zinopinées / Tot Straks				fre ; français			Straks, Tot (1967-....). Auteur du texte		[C. Chapireau] (Dainville)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Non paginé : ill. en coul., couv. ill. en coul. ; 13 x 15 cm	http://catalogue.bnf.fr/ark:/12148/cb37135502d
ark:/12148/cb371266121		L'âne Trotro / Bénédicte Guettier				fre ; français			Guettier, Bénédicte (1962-....). Auteur du texte		Gallimard jeunesse (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb371266121
ark:/12148/cb375835228		Sylvain et Sylvette / textes et dessins, Jean-Louis Pesch				fre ; français			Pesch, Jean-Louis (1928-....). Auteur du texte	Bérik (1967-....). Illustrateur	Dargaud (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb375835228
ark:/12148/cb371265629		Business case studies / C. Douglas Billet				eng ; anglais			Billet, C. Douglas (1949-....). Auteur du texte		Media training publishers (Cannes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	 ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb371265629
ark:/12148/cb40221752n		Au jardin de pierres / Jeamie Audger		Collection : Mémoire d'encre		fre ; français			Audger, Jeamie. Auteur du texte		les 2 encres (Cholet)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb40221752n
ark:/12148/cb409834324		La saga des Rinucci / Lucy Gordon		Collection : Collection Azur		fre ; français			Gordon, Lucy (19..-.... ; romancière). Auteur du texte		Éd. Harlequin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb409834324
ark:/12148/cb35362242s		Agenda 1974				fre ; français					Ed. de Garenne (Lyon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	[46] p. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb35362242s
ark:/12148/cb423576626		Cahiers d'histoire maçonnique / Henri P. Plotas ; [publié par l'association Les Philanthropes]				fre ; français			Plotas, Henri P. (1943-....). Auteur du texte		les Philanthropes (Versailles)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	ill., couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb423576626
ark:/12148/cb42270652f		Les ombres de la nuit / Kresley Cole		Collection : Crépuscule		fre ; français			Cole, Kresley. Auteur du texte			Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb42270652f
ark:/12148/cb42088502d		Économie contemporaine : catégorie A, filière administrative / Gilles Rasselet				fre ; français			Rasselet, Gilles. Auteur du texte		CNFPT, Centre national de la fonction publique territoriale (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	Graph. ; 27 cm	http://catalogue.bnf.fr/ark:/12148/cb42088502d
ark:/12148/cb47118142z		La saga des Cazalet				fre ; français			Howard, Elizabeth Jane (1923-2014). Auteur du texte		FL Éditions (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2022	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb47118142z
ark:/12148/cb39172603d		Anthologie de poésie féminine / présentée par G. Claude St Marc				fre ; français				St Marc, G. Claude (1922-2013). Éditeur scientifique	la Pléiade pictave (Poitiers)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2004	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb39172603d
ark:/12148/cb40157893d		L'encyclopédie du merveilleux / Édouard Brasey		Collection : Fantasy		fre ; français			Brasey, Édouard (1954-....). Auteur du texte		le Pré aux Clercs (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	29 cm	http://catalogue.bnf.fr/ark:/12148/cb40157893d
ark:/12148/cb343133037		Huxley et ses amis / Sara Lynn				fre ; français			Lynn, Sara (1955-....). Auteur du texte		Éd. Milan (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 17 cm	http://catalogue.bnf.fr/ark:/12148/cb343133037
ark:/12148/cb343002438		L'envoyé : roman / Huguette Carrière		Collection : Signe de piste		fre ; français			Carrière, Huguette (1934-....). Auteur du texte		Lombard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1977	texte imprimé ; printed text ; text	vol. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb343002438
ark:/12148/cb34308173v		Le Livre d'or de la moto				fre ; français					Solar (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1976-1996	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 26 cm	http://catalogue.bnf.fr/ark:/12148/cb34308173v
ark:/12148/cb343416036		Le test PN ([3e éd.]) Louis Corman,...				fre ; français			Corman, Louis (1901-1995). Auteur du texte		Presses universitaires de France (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1981	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343416036
ark:/12148/cb34343153v		Poussières de vie / Jean-Claude Pomonti		Collection : Les Enfants du fleuve		fre ; français			Pomonti, Jean-Claude. Auteur du texte		Fayard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34343153v
ark:/12148/cb34312013g		Des idées et des hommes / [éd. par Bernard Desmasures, Jean-Jacques Schoemann, Daniel Galerne, Jane Micheline Vallée]				fre ; français					Éd. Martinsart (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1986-1987	texte imprimé ; printed text ; text	Ill. en coul. ; 28 cm	http://catalogue.bnf.fr/ark:/12148/cb34312013g
ark:/12148/cb34338013b		Les salons retrouvés : éclat de la vie artistique dans la France du Nord, 1815-1848				fre ; français					Association des conservateurs des musées du Nord-Pas-de-Calais (Lille)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34338013b
ark:/12148/cb34336343m		Initiation maçonnique / [Association Alpha international]				fre ; français			ALPHA international. Auteur du texte		Alpha international (Montpellier)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34336343m
ark:/12148/cb34309883b		Jérusalem / Selma Lagerlöf				fre ; français			Lagerlöf, Selma (1858-1940). Auteur du texte		Stock (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb34309883b
ark:/12148/cb34334673w		Le cycle d'Oyasu Sang-Dragon / Werner				fre ; français			Werner. Auteur du texte		Casterman (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 31 cm	http://catalogue.bnf.fr/ark:/12148/cb34334673w
ark:/12148/cb34294993d		L'arbre jusqu'aux racines... / Dominique Fernandez				fre ; français			Fernandez, Dominique (1929-....). Auteur du texte		B. Grasset (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1972-1975	texte imprimé ; printed text ; text	2 vol. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb34294993d
ark:/12148/cb34333123q		Santa Barbara : roman / Gilles Durieux		Collection : Le Livre de poche		fre ; français			Durieux, Gilles (1934-....). Auteur du texte		Librairie générale française (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	couv. ill. en coul. ; 17 cm	http://catalogue.bnf.fr/ark:/12148/cb34333123q
ark:/12148/cb34335973z		La lecture méthodique / Adeline Leqot		Collection : Les méthodiques		fre ; français			Lesot, Adeline. Auteur du texte		Hatier (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb34335973z
ark:/12148/cb34306943n		Cahiers Giono				fre ; français					Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1981	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34306943n
ark:/12148/cb34306633h		Lady Mage Kane / Sera-Borderie				fre ; français				Borderie, François. Illustrateur ; Séra (1961-....). Illustrateur	Futuropolis (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1986	texte imprimé ; printed text ; text	vol. : ill., couv. ill. en coul. ; 18 x 23 cm	http://catalogue.bnf.fr/ark:/12148/cb34306633h
ark:/12148/cb34344563h		Rhodanie / Suzanne de Arriba				fre ; français			Arriba, Suzanne de (1943-....). Auteur du texte		les Éd. de la Tour Gile (Péronnas)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 22 cm	http://catalogue.bnf.fr/ark:/12148/cb34344563h
ark:/12148/cb37583003m		Les cahiers thématiques de l'aménagement et de la construction / sous la dir. de Christian Legrand,...		Collection : L'essentiel sur		fre ; français				Legrand, Christian (1947-....). Directeur de publication	Territorial (Voiron)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37583003m
ark:/12148/cb371261537		Yoko Tsuno (Série limitée) par Roger Leloup				fre ; français			Leloup, Roger (1933-....). Auteur du texte		Dupuis (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb371261537
ark:/12148/cb375828534		Histoire de la viguerie de Forcalquier ([Reprod. en fac-sim.]) Camille Arnaud		Collection : Rediviva		fre ; français			Arnaud, Camille (1798-1883). Auteur du texte		C. Lacour (Nîmes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb375828534
ark:/12148/cb36946813k		La santé en Europe		Collection : L'Europe en bref		fre ; français					Actes Sud (Arles) ; Centre européen de la culture (Genève)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	Ill., couv. ill. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb36946813k
ark:/12148/cb41038563f		La liberté guidait leurs pas : suite romanesque / Pierre Miquel		Collection : Le livre de poche		fre ; français			Miquel, Pierre (1930-2007). Auteur du texte		Librairie générale française (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb41038563f
ark:/12148/cb443905432		Histoires d'avions / [présenté par] Franck Coste		Collection : Plein vol collection		fre ; français				Coste, Franck (1966-....). Éditeur scientifique	Idées + Passion BD (Bezouce)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2014	texte imprimé ; printed text ; text	Ill. en coul. ; 17 x 23 cm	http://catalogue.bnf.fr/ark:/12148/cb443905432
ark:/12148/cb40140463g		Zoupiron / dessin, Jérémie Guneau ; scénario, Frédéric Legros				fre ; français			Guneau, Jérémie (1984-....). Auteur du texte		le Coffre à BD (Tournefeuille) ; Éd. du Topinambour (Soissons)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	29 cm	http://catalogue.bnf.fr/ark:/12148/cb40140463g
ark:/12148/cb41084623j		Impératrice Orchidée / Anchee Min		Collection : J'ai lu		fre ; français			Min, Anchee (1957-....). Auteur du texte		J'ai lu (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb41084623j
ark:/12148/cb42073003z		Le projet éducatif adapté à l'autisme et le principe de l'extériorisation / Philippe Corbière		Collection : Connaissance		fre ; français			Corbière, Philippe (1966-....). Auteur du texte		GRIAPE (Montpellier)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb42073003z
ark:/12148/cb42258633p		Oeuvres complètes / Rosa Luxemburg				fre ; français			Luxemburg, Rosa (1871-1919). Auteur du texte		Agone (Marseille) ; Smolny (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb42258633p
ark:/12148/cb424990234		L'art de la gestion immobilière / Philippe Schnepf				fre ; français			Schnepf, Philippe (1950-....). Auteur du texte		les Presses du midi (Toulon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb424990234
ark:/12148/cb35743874k		Amour, amitié, affection, ha ! ha ! ha !				fre ; français					K. Bernard (Montereau)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	104 p. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb35743874k
ark:/12148/cb35626804j		Mots de sagesse				fre ; français					Ed. Maison de vie (Alès)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	97 p. : couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb35626804j
ark:/12148/cb40078224d		Gérez votre officine (3e éd.) 		Collection : Les essentiels du pharmacien		fre ; français					"Le Moniteur des pharmacies et des laboratoires" (Rueil-Malmaison) ; Groupe Liaisons (Rueil-Malmaison)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb40078224d
ark:/12148/cb343346747		Fann le lion / Renée Rahir				fre ; français			Rahir, Renée. Auteur du texte		Casterman (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 31 cm	http://catalogue.bnf.fr/ark:/12148/cb343346747
ark:/12148/cb34334704b		Leurres : roman / Gaëlle Mann				fre ; français			Mann, Gaëlle (1939-....). Auteur du texte		L. Talmart (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb34334704b
ark:/12148/cb343193746		Katalogiseringsregler og bibliografisk standard for danske biblioteker... (Foreløbig udgave) udarbejdet af det Danske katalogregeludvalg				dan ; danois			Danemark. Katalogregeludvalg. Auteur du texte		Bibliotekscentralen (Ballerup)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1974	texte imprimé ; printed text ; text	vol. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb343193746
ark:/12148/cb343421946		La toponymie celtique : l'origine des noms de lieux en Bretagne / Jean-Marie Plonéis				fre ; français			Plonéis, Jean-Marie (1934-....). Auteur du texte		Éd. du Félin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb343421946
ark:/12148/cb343001043		L'Allemagne romantique / Marcel Brion,...				fre ; français			Brion, Marcel (1895-1984). Auteur du texte		A. Michel (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1962	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343001043
ark:/12148/cb34315204s		Théâtre... / Maurice Maeterlinck				fre ; français			Maeterlinck, Maurice (1862-1949). Auteur du texte		P. Lacomblez (Bruxelles) ; P. Lamm (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1901	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb34315204s
ark:/12148/cb34347314g		Camées et intailles				fre ; français			Vollenweider, Marie-Louise (1919-....). Auteur du texte		Bibliothèque nationale de France (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb34347314g
ark:/12148/cb34347054w		Cabanes en pierre sèche / Éric Kalmar		Collection : Connaissez-vous ?		fre ; français			Kalmar, Éric. Auteur du texte		Musée des arts et traditions populaires de Moyenne Provence (Draguignan)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb34347054w
ark:/12148/cb37582284r		Œuvres complètes (Nouvelle éd. revue et augmentée) Antonin Artaud				fre ; français			Artaud, Antonin (1896-1948). Auteur du texte		Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1984	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37582284r
ark:/12148/cb371274043		Fosses, vallée de l'Ysieux : mille ans de production céramique en Île-de-France / Rémy Guadagnin				fre ; français			Guadagnin, Rémy. Auteur du texte		Publications du CRAM (Caen)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. en coul. ; 29 cm	http://catalogue.bnf.fr/ark:/12148/cb371274043
ark:/12148/cb37170024z		Ma̜dremu biada ? : szkice literackie / Marek Zaleski	Littérature polonaise -- 1945-....	Collection : Historia i teraźniejszość ; 17		pol ; polonais			Zaleski, Marek (1952-....). Auteur du texte		Libella (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	146 p. ; 22 cm	http://catalogue.bnf.fr/ark:/12148/cb37170024z ; ISBN 290333210X
ark:/12148/cb34318264c		Regesta regum Anglo-Normannorum 1066-1154...				eng ; anglais					Clarendon press (Oxford)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1913-1968	texte imprimé ; printed text ; text	4 vol. ; 28 cm	http://catalogue.bnf.fr/ark:/12148/cb34318264c
ark:/12148/cb36594204t		Witchblade / créé par Marc Silvestri				fre ; français				Silvestri, Marc (1958-....). Auteur adapté	Éd. USA (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb36594204t
ark:/12148/cb42183744v		Oeuvres complètes / Pierre Reverdy		Collection : Mille & une pages		fre ; français			Reverdy, Pierre (1889-1960). Auteur du texte		Flammarion (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb42183744v
ark:/12148/cb343347150		Histoire de la France coloniale / Jacques Thobie [et al.]		Collection : Histoires-Colin		fre ; français					A. Colin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990-1991	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb343347150
ark:/12148/cb343452559		Les Bretons dans la Grande guerre / Roger Laouénan				fre ; français			Laouénan, Roger (1932-2022). Auteur du texte		Coop Breizh (Spezet)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb343452559
ark:/12148/cb34337895g		La Révolution à Landerneau / [sous la dir. de Paul Jarry]				fre ; français				Jarry, Paul (1928-....). Directeur de publication	Archives municipales (Landerneau)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	31 cm	http://catalogue.bnf.fr/ark:/12148/cb34337895g
ark:/12148/cb34303155q		Un ambassadeur se souvient / Armand Bérard	Bérard, Armand (1904-1989)			fre ; français			Bérard, Armand (1904-1989). Auteur du texte		Plon (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1976	texte imprimé ; printed text ; text	21 puis 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34303155q
