ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb37583274p		Comptabilité approfondie et révision		Collection : Zoom's DECF		fre ; français					Gualino (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb37583274p
ark:/12148/cb40129374m		Le p'tit livre du p'tit coin				fre ; français					Tourbillon (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	16 cm	http://catalogue.bnf.fr/ark:/12148/cb40129374m
ark:/12148/cb37011865k		Ces gens de Puisaye / Jean-Claude Tsavdaris				fre ; français			Tsavdaris, Jean-Claude. Auteur du texte		[s.n.]	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37011865k
ark:/12148/cb37136165f		"Guzmán de Alfarache" de Mateo Alemán : index alphabétique / Horcajo Arturo				fre ; français			Horcajo, Arturo. Auteur du texte		A. Horcajo (Langé)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37136165f
ark:/12148/cb37583455z		Leçons ([Nouvelle éd.]) Pierre Legendre				fre ; français			Legendre, Pierre (1930-....). Auteur du texte		Fayard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37583455z
ark:/12148/cb37583225g		La reine Liberté / Christian Jacq				fre ; français			Jacq, Christian (1947-....). Auteur du texte		XO éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37583225g
ark:/12148/cb37012645n		Pratiques et techniques comptables : bac pro comptabilité		Collection : Pochette gesteco		fre ; français					Delagrave (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37012645n
ark:/12148/cb36594696d		Récits des Pyrénées / Denise Déjean				fre ; français			Déjean, Denise (1956-....). Auteur du texte		C. Lacour (Nîmes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb36594696d
ark:/12148/cb369462566		Guide pratique de l'intendant : gestion matérielle, budgétaire et comptable d'un établissement scolaire / F. Pelletier, H. Ajoux, C. Boeglin... [et al.]				fre ; français					Éd. Weka (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb369462566
ark:/12148/cb42330896z		UE7 Santé, société, humanité / J. Ladner				fre ; français					Maloine (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb42330896z
ark:/12148/cb37126547d		Moteur diesel		Collection : Cahier technique automobile		fre ; français					ETAI (Boulogne-Billancourt)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37126547d
ark:/12148/cb37135427g		Territoires sous influence		Collection : Communication et civilisation		fre ; français					l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb37135427g
ark:/12148/cb34303097c		Titres et travaux scientifiques du Docteur Paul Brégeat	Brégeat, Paul (1909-1989)			fre ; français					[s.n.] (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1955	texte imprimé ; printed text ; text	24 et 27 cm	http://catalogue.bnf.fr/ark:/12148/cb34303097c
ark:/12148/cb36133357h		Hier, Le Havre / Jean Legoy				fre ; français			Legoy, Jean. Auteur du texte		Éd. de l'Estuaire (Le Havre)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	31 cm	http://catalogue.bnf.fr/ark:/12148/cb36133357h
ark:/12148/cb36946717p		Marcel Proust / Jean-Yves Tadié				fre ; français			Tadié, Jean-Yves (1936-....). Auteur du texte		Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	2 vol. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb36946717p
ark:/12148/cb40219257q		Terra incognita / Walter Antogn				fre ; français			Antogn, Walter (1952-....). Auteur du texte		Éd. Amalthée (Nantes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb40219257q
ark:/12148/cb42448537x		Les outils de la recherche / Emeric Tellier				fre ; français			Tellier, Emeric (1984-....). Auteur du texte		Tellier (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb42448537x
ark:/12148/cb343470588		Guide Dinky toys anglais / Jean-Michel Roulet				fre ; français			Roulet, Jean-Michel (1945-....). Auteur du texte		EPA (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb343470588
ark:/12148/cb371365181		DESCF, annales corrigées 2001 ([Nouv. éd.]) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb371365181
